age,sex,death_prob
16.0,0,0.00022191
16.0,1,0.00015353
17.0,0,0.00028893
17.0,1,0.00017613
18.0,0,0.00036068
18.0,1,0.00019463
19.0,0,0.00042089
19.0,1,0.00020437
20.0,0,0.00045911
20.0,1,0.00020484
21.0,0,0.00047571
21.0,1,0.00019919
22.0,0,0.00047596
22.0,1,0.00019107
23.0,0,0.00046739
23.0,1,0.00018379
24.0,0,0.00045793
24.0,1,0.00018023
25.0,0,0.00045411
25.0,1,0.00018269
26.0,0,0.00045729
26.0,1,0.00019114
27.0,0,0.00046735
27.0,1,0.00020504
28.0,0,0.00048446
28.0,1,0.00022399
29.0,0,0.00050907
29.0,1,0.00024751
30.0,0,0.00054193
30.0,1,0.00027482
31.0,0,0.00058384
31.0,1,0.00030497
32.0,0,0.00063492
32.0,1,0.00033793
33.0,0,0.00069502
33.0,1,0.00037376
34.0,0,0.00076369
34.0,1,0.00041253
35.0,0,0.00083997
35.0,1,0.00045425
36.0,0,0.00092221
36.0,1,0.00049888
37.0,0,0.0010093
37.0,1,0.0005465
38.0,0,0.00110203
38.0,1,0.00059757
39.0,0,0.00120165
39.0,1,0.00065269
40.0,0,0.00130981
40.0,1,0.00071263
41.0,0,0.00142864
41.0,1,0.00077836
42.0,0,0.00156076
42.0,1,0.00085107
43.0,0,0.00170846
43.0,1,0.00093194
44.0,0,0.00187351
44.0,1,0.00102207
45.0,0,0.00205784
45.0,1,0.00112276
46.0,0,0.00226355
46.0,1,0.00123549
47.0,0,0.00249294
47.0,1,0.00136197
48.0,0,0.00274858
48.0,1,0.00150414
49.0,0,0.00303388
49.0,1,0.00166362
50.0,0,0.0033531
50.0,1,0.0018418
51.0,0,0.0037112
51.0,1,0.00204
52.0,0,0.004114
52.0,1,0.00225939
53.0,0,0.00456835
53.0,1,0.00250093
54.0,0,0.00508175
54.0,1,0.00276582
55.0,0,0.00566051
55.0,1,0.00305743
56.0,0,0.00631056
56.0,1,0.00338052
57.0,0,0.00703774
57.0,1,0.003741
58.0,0,0.00784754
58.0,1,0.00414621
59.0,0,0.00874483
59.0,1,0.00460528
60.0,0,0.00973313
60.0,1,0.00512618
61.0,0,0.01081356
61.0,1,0.00571033
62.0,0,0.01198472
62.0,1,0.00635591
63.0,0,0.01324216
63.0,1,0.00705773
64.0,0,0.01457783
64.0,1,0.00780635
65.0,0,0.01597984
65.0,1,0.00858767
66.0,0,0.01744392
66.0,1,0.00939707
67.0,0,0.01898028
67.0,1,0.01024816
68.0,0,0.0206044
68.0,1,0.01116157
69.0,0,0.02233709
69.0,1,0.01216511
70.0,0,0.02420523
70.0,1,0.01329538
71.0,0,0.02624195
71.0,1,0.01459783
72.0,0,0.0284767
72.0,1,0.01610264
73.0,0,0.03093664
73.0,1,0.01782531
74.0,0,0.0336531
74.0,1,0.01977932
75.0,0,0.0366625
75.0,1,0.02197471
76.0,0,0.04000711
76.0,1,0.02441623
77.0,0,0.04374051
77.0,1,0.02711138
78.0,0,0.04795266
78.0,1,0.03012557
79.0,0,0.05276521
79.0,1,0.03356844
80.0,0,0.05833063
80.0,1,0.03758581
81.0,0,0.06484059
81.0,1,0.0423716
82.0,0,0.07253679
82.0,1,0.04818507
83.0,0,0.08167546
83.0,1,0.05531723
84.0,0,0.09241132
84.0,1,0.06395658
85.0,0,0.10485809
85.0,1,0.07425316
86.0,0,0.11908998
86.0,1,0.0863156
87.0,0,0.1351199
87.0,1,0.10017862
88.0,0,0.15287782
88.0,1,0.11576845
89.0,0,0.17224612
89.0,1,0.13296767
90.0,0,0.19310484
90.0,1,0.15170815
91.0,0,0.21527181
91.0,1,0.17187544
92.0,0,0.23849636
92.0,1,0.1932964
93.0,0,0.26246448
93.0,1,0.21574129
94.0,0,0.28681714
94.0,1,0.23893813
95.0,0,0.31130731
95.0,1,0.26273304
96.0,0,0.3358256
96.0,1,0.28712413
97.0,0,0.36029654
97.0,1,0.31215597
98.0,0,0.38467353
98.0,1,0.33791111
99.0,0,0.40893627
99.0,1,0.36450313
100.0,0,0.43280007
100.0,1,0.56719993
